country,Country Code,Continent,HDI,le,eys,mys,gnicp,ptr_p,ut,se_p,fr,che,pun,ppod,gee
Albania,ALB,Europe,0.802,79.0473,14.81612968,10.91069206,12802.14831,17.94478,13.62,95.53947,1.491,6.54604626,4.7,0.064126603,3.611720085
Algeria,DZA,Africa,0.744,75.7428,14.52869073,7.940606186,11562.26587,24.22505,10.334,97.5883,3.05,6.27938414,2.7,0.653890725,6.401838303
Arab World,ARB,Asia,0.706,71.50874364,12.09003252,7.707404737,14286.29133,20.62693,10.91992044,83.76548,3.325881933,5.350637162,12.04541705,5.113920185,2.178654311
Armenia,ARM,Asia,0.768,74.9059,13.03505675,11.18758965,12541.16263,15.687,12.944,91.94625,1.562,10.36270523,2.8,0.01094746,2.707590103
Australia,AUS,Oceania,0.937,83.0006,21.95433044,12.42234039,47085.22714,15.1,5.59,96.38096,1.741,10.1257143,2.5,0,5.138229847
Austria,AUT,Europe,0.916,81.6391,16.09206963,12.15911961,53665.02668,10.01653,5.5,88.61718,1.52,10.38402557,2.5,0,5.371590137
Azerbaijan,AZE,Asia,0.753,72.2478,13.14496417,10.54459953,13587.53119,15.458,4.96,93.7475,1.75,3.73651457,2.5,0.087048411,2.473819971
Barbados,BRB,North America,0.796,76.936,15.6054182,9.77397843,15079.36912,14.09682,8.62,94.99257,1.615,6.62216997,4.3,0.828895303,4.363840103
Belarus,BLR,Europe,0.817,74.4519,15.58522987,11.95291634,17666.60161,18.80255,5.65,95.61727,1.541,5.75974846,2.5,0,4.795000076
Belgium,BEL,Europe,0.931,81.3618,19.77437973,12.23692989,50904.68909,11.27695,7.09,98.76482,1.65,10.75165462,2.5,0,6.425340176
Belize,BLZ,North America,0.707,73.5624,13.11357975,9.339186096,6709.03456,19.58631,6.6,96.18248,2.36,5.74651003,7,0.784175766,5.902510166
Benin,BEN,Africa,0.53,59.8558,12.15258217,4.010411011,3010.902854,43.56977,1.643,97.03352,5.269,2.60406828,7.9,52.73837685,3.535589933
Bolivia,BOL,South America,0.708,67.7015,14.90059471,9.396595001,8174.492977,17.58897,3.65,90.87779,2.777,6.4901948,12.5,13.06441182,8.097240448
Brazil,BRA,South America,0.759,74.8266,15.48515987,7.851759911,14253.07502,20.22308,12.93,96.29925,1.736,9.47125053,2.5,1.182369733,6.32047987
Brunei Darussalam,BRN,Asia,0.834,74.722,14.46683025,9.1,64617.63812,10.18252,9.32,93.53285,1.881,2.27036428,6.2,1.04,4.487564523
Bulgaria,BGR,Europe,0.808,74.7992,14.41442013,11.24269962,20986.65463,15.20744,6.16,86.4454,1.56,7.49168301,3,0,4.075270176
Burkina Faso,BFA,Africa,0.438,59.5361,8.906479836,1.761222512,1967.634052,40.68126,4.566,76.42387,5.162,6.05631208,12.4,42.12392887,5.628469944
Cabo Verde,CPV,Africa,0.675,76.5928,12.95409966,6.076351994,6413.999141,21.08156,12.24,92.86236,2.091,5.2683692,16.2,16.04453396,4.592780113
